source_file,chunks,items,errors
不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,1,13,0
不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,1,15,0
不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,1,11,0
不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,1,10,0
不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,1,17,0
不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,1,13,0
不含海但有相关专业的院校_中国地质大学（2023）_海洋工程与技术专业2023版本科培养方案.pdf.txt,1,12,0
不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,1,8,0
不含海但有相关专业的院校_北部湾大学（2021）_海运学院_交通运输工程.docx.txt,1,15,0
不含海但有相关专业的院校_华东师范大学（2022）_海洋科学.pdf.txt,1,17,0
不含海但有相关专业的院校_华东师范大学（2022）_港口、海岸及近海工程.pdf.txt,1,23,0
不含海但有相关专业的院校_华东师范大学（2022）_环境科学与工程.pdf.txt,1,9,0
不含海但有相关专业的院校_华东师范大学（2022）_生态学.pdf.txt,1,10,0
不含海但有相关专业的院校_华南农业大学（2024）_水产养殖学专业.pdf.txt,1,12,0
不含海但有相关专业的院校_华南农业大学（2024）_水产养殖学（智慧渔业）专业.pdf.txt,1,15,0
不含海但有相关专业的院校_华南农业大学（2024）_海洋科学专业.pdf.txt,1,9,0
不含海但有相关专业的院校_南京信息工程大学（2024）_海洋技术专业.pdf.txt,1,10,0
不含海但有相关专业的院校_南京信息工程大学（2024）_海洋科学专业.pdf.txt,1,12,0
不含海但有相关专业的院校_南京信息工程大学（2024）_海洋科学（国科大联培）.pdf.txt,1,14,0
不含海但有相关专业的院校_南京信息工程大学（2024）_海洋资源与环境专业.pdf.txt,1,12,0
不含海但有相关专业的院校_南方科技大学（2020）_海洋工程与技术专业.pdf.txt,1,10,0
不含海但有相关专业的院校_南方科技大学（2020）_海洋科学专业.pdf.txt,1,11,0
不含海但有相关专业的院校_同济大学（2017）_海洋技术专业.pdf.txt,1,14,0
不含海但有相关专业的院校_大连理工大学（2025）_船舶工程学院.pdf.txt,1,15,0
不含海但有相关专业的院校_宁波大学（2025）_海洋学院_2024级水产养殖学(拔尖人才创新班)专业培养方案及教学计划.docx.txt,1,15,0
不含海但有相关专业的院校_宁波大学（2025）_海洋学院_2024级水产养殖学专业培养方案及教学计划.docx.txt,1,13,0
不含海但有相关专业的院校_宁波大学（2025）_海洋学院_2024级生物技术(拔尖人才创新班)专业培养方案及教学计划.docx.txt,1,13,0
不含海但有相关专业的院校_宁波大学（2025）_海洋学院_2024级生物技术专业培养方案及教学计划.docx.txt,1,9,0
不含海但有相关专业的院校_山东大学（2024）_2024版海洋科学（海洋化学）专业培养方案.docx.txt,1,10,0
不含海但有相关专业的院校_山东大学（2024）_2024版海洋科学（海洋生物学）专业培养方案.docx.txt,1,17,0
不含海但有相关专业的院校_山东大学（2024）_2024版海洋科学（海洋药学）专业培养方案.docx.txt,1,12,0
不含海但有相关专业的院校_山东大学（2024）_2024版海洋资源开发技术（海洋生态工程）专业培养方案.docx.txt,1,15,0
不含海但有相关专业的院校_山东大学（2024）_2024版海洋资源开发技术（海洋生物工程）专业培养方案.docx.txt,1,13,0
不含海但有相关专业的院校_武汉理工大学（2025）_能源与动力工程（船舶卓越工程师班）专业.pdf.txt,1,14,0
不含海但有相关专业的院校_武汉理工大学（2025）_能源与动力工程（船舶）专业.pdf.txt,1,33,0
不含海但有相关专业的院校_武汉理工大学（2025）_船舶与海洋工程专业.pdf.txt,1,10,0
不含海但有相关专业的院校_武汉理工大学（2025）_船舶与海洋工程专业（卓越班）.pdf.txt,1,13,0
不含海但有相关专业的院校_武汉理工大学（2025）_轮机工程专业.pdf.txt,1,14,0
不含海但有相关专业的院校_武汉理工大学（2025）_轮机工程专业（卓越工程师班）.pdf.txt,1,11,0
不含海但有相关专业的院校_河北农业大学（2024）_海洋技术.pdf.txt,1,8,0
不含海但有相关专业的院校_河北地质大学（2025）_水资源与环境学院_25级土木水利_培养方案.pdf.txt,1,13,0
不含海但有相关专业的院校_河北地质大学（2025）_水资源与环境学院_25级环境科学与工程_培养方案.pdf.txt,1,14,0
不含海但有相关专业的院校_河北地质大学（2025）_海洋资源与环境本科专业人才培养方案.pdf.txt,1,32,0
不含海但有相关专业的院校_浙江大学（2022）_海洋工程与技术专业.pdf.txt,1,12,0
不含海但有相关专业的院校_浙江大学（2022）_海洋科学专业.pdf.txt,1,8,0
