canonical_competency,supply_pct,demand_pct,demand_minus_supply_pp,relative_fit_pct,match_status
水产品加工质量与市场服务能力,0.26%,0.20%,-0.06,77.03%,基本均衡
海洋信息智能数据能力,1.11%,0.84%,-0.27,75.49%,基本均衡
船舶综合工程能力,0.22%,0.52%,+0.30,42.80%,基本均衡
低频跨域专业综合能力,2.29%,1.95%,-0.34,85.23%,基本均衡
海事法律监管能力,0.92%,0.32%,-0.60,34.51%,基本均衡
船舶轮机动力能力,3.95%,3.26%,-0.69,82.64%,基本均衡
海洋地质地球物理能力,1.00%,0.28%,-0.72,27.96%,基本均衡
海洋材料化学与生物医药能力,0.77%,0.00%,-0.77,0.00%,基本均衡
船舶通导与智能系统能力,1.07%,1.87%,+0.80,57.22%,基本均衡
物理海洋气象分析能力,1.40%,0.44%,-0.96,31.22%,基本均衡
海洋调查观测测绘能力,2.29%,1.31%,-0.97,57.40%,基本均衡
文献写作与教育教学能力,1.00%,0.00%,-1.00,0.00%,基本均衡
