canonical_competency,supply_pct,demand_pct,demand_minus_supply_pp,relative_fit_pct,match_status
船舶建造制造与质量能力,1.00%,15.75%,+14.76,6.32%,显著需求高于供给
海洋能源与海上风电工程能力,1.07%,9.11%,+8.04,11.74%,显著需求高于供给
海洋工程项目建设管理能力,0.26%,5.97%,+5.71,4.33%,显著需求高于供给
港口航道水运工程能力,2.29%,7.48%,+5.19,30.58%,显著需求高于供给
船舶电气自动化能力,1.92%,6.92%,+5.00,27.71%,显著需求高于供给
船舶设计研发能力,1.84%,6.25%,+4.40,29.53%,显著需求高于供给
港口机电与智慧港口能力,0.11%,3.94%,+3.83,2.81%,显著需求高于供给
船舶运营安全管理能力,2.36%,6.09%,+3.73,38.79%,显著需求高于供给
港航物流与航运业务能力,3.65%,7.12%,+3.47,51.29%,显著需求高于供给
船舶市场商务与供应链能力,0.00%,3.26%,+3.26,0.00%,显著需求高于供给
海洋工程装备设计制造能力,2.77%,4.65%,+1.89,59.44%,需求高于供给
水声声学与海洋通信技术能力,0.59%,2.47%,+1.88,23.93%,需求高于供给
船舶通导与智能系统能力,1.07%,1.87%,+0.80,57.22%,基本均衡
船舶综合工程能力,0.22%,0.52%,+0.30,42.80%,基本均衡
水产品加工质量与市场服务能力,0.26%,0.20%,-0.06,77.03%,基本均衡
海洋信息智能数据能力,1.11%,0.84%,-0.27,75.49%,基本均衡
低频跨域专业综合能力,2.29%,1.95%,-0.34,85.23%,基本均衡
海事法律监管能力,0.92%,0.32%,-0.60,34.51%,基本均衡
船舶轮机动力能力,3.95%,3.26%,-0.69,82.64%,基本均衡
海洋地质地球物理能力,1.00%,0.28%,-0.72,27.96%,基本均衡
海洋材料化学与生物医药能力,0.77%,0.00%,-0.77,0.00%,基本均衡
物理海洋气象分析能力,1.40%,0.44%,-0.96,31.22%,基本均衡
海洋调查观测测绘能力,2.29%,1.31%,-0.97,57.40%,基本均衡
文献写作与教育教学能力,1.00%,0.00%,-1.00,0.00%,基本均衡
环境工程治理能力,1.18%,0.08%,-1.10,6.74%,供给高于需求
土木交通水利工程能力,1.77%,0.32%,-1.45,17.97%,供给高于需求
海洋生物生态保育能力,2.77%,1.19%,-1.57,43.13%,供给高于需求
海洋环境监测评价治理能力,2.55%,0.80%,-1.75,31.26%,供给高于需求
工程管理经济质量能力,2.77%,0.91%,-1.85,33.07%,供给高于需求
海洋科学综合研究能力,3.10%,0.12%,-2.98,3.85%,显著供给高于需求
水产养殖渔业技术能力,4.61%,1.27%,-3.34,27.61%,显著供给高于需求
机械材料能源动力能力,3.87%,0.52%,-3.36,13.35%,显著供给高于需求
工程伦理安全可持续能力,3.87%,0.48%,-3.40,12.32%,显著供给高于需求
工程基础与问题分析能力,3.87%,0.32%,-3.55,8.22%,显著供给高于需求
生物化学食品支撑能力,3.61%,0.00%,-3.61,0.00%,显著供给高于需求
航海驾驶与通导操作能力,3.95%,0.20%,-3.75,5.04%,显著供给高于需求
团队沟通国际化能力,6.16%,1.63%,-4.53,26.47%,显著供给高于需求
电子通信与自动控制能力,5.90%,0.84%,-5.07,14.15%,显著供给高于需求
数字化工具与软件应用能力,7.89%,1.07%,-6.82,13.61%,显著供给高于需求
科研实验创新实践能力,8.00%,0.28%,-7.73,3.48%,显著供给高于需求
