canonical_competency,supply_pct,demand_pct,demand_minus_supply_pp,relative_fit_pct,match_status
船舶建造制造与质量能力,1.00%,15.75%,+14.76,6.32%,显著需求高于供给
海洋能源与海上风电工程能力,1.07%,9.11%,+8.04,11.74%,显著需求高于供给
海洋工程项目建设管理能力,0.26%,5.97%,+5.71,4.33%,显著需求高于供给
港口航道水运工程能力,2.29%,7.48%,+5.19,30.58%,显著需求高于供给
船舶电气自动化能力,1.92%,6.92%,+5.00,27.71%,显著需求高于供给
船舶设计研发能力,1.84%,6.25%,+4.40,29.53%,显著需求高于供给
港口机电与智慧港口能力,0.11%,3.94%,+3.83,2.81%,显著需求高于供给
船舶运营安全管理能力,2.36%,6.09%,+3.73,38.79%,显著需求高于供给
港航物流与航运业务能力,3.65%,7.12%,+3.47,51.29%,显著需求高于供给
船舶市场商务与供应链能力,0.00%,3.26%,+3.26,0.00%,显著需求高于供给
海洋工程装备设计制造能力,2.77%,4.65%,+1.89,59.44%,需求高于供给
水声声学与海洋通信技术能力,0.59%,2.47%,+1.88,23.93%,需求高于供给
