canonical_competency,supply_pct,demand_pct,demand_minus_supply_pp,relative_fit_pct,match_status
科研实验创新实践能力,8.00%,0.28%,-7.73,3.48%,显著供给高于需求
数字化工具与软件应用能力,7.89%,1.07%,-6.82,13.61%,显著供给高于需求
电子通信与自动控制能力,5.90%,0.84%,-5.07,14.15%,显著供给高于需求
团队沟通国际化能力,6.16%,1.63%,-4.53,26.47%,显著供给高于需求
航海驾驶与通导操作能力,3.95%,0.20%,-3.75,5.04%,显著供给高于需求
生物化学食品支撑能力,3.61%,0.00%,-3.61,0.00%,显著供给高于需求
工程基础与问题分析能力,3.87%,0.32%,-3.55,8.22%,显著供给高于需求
工程伦理安全可持续能力,3.87%,0.48%,-3.40,12.32%,显著供给高于需求
机械材料能源动力能力,3.87%,0.52%,-3.36,13.35%,显著供给高于需求
水产养殖渔业技术能力,4.61%,1.27%,-3.34,27.61%,显著供给高于需求
海洋科学综合研究能力,3.10%,0.12%,-2.98,3.85%,显著供给高于需求
工程管理经济质量能力,2.77%,0.91%,-1.85,33.07%,供给高于需求
