ability_id,original_ability,side,supply_occurrences,supply_file_count,demand_occurrences,demand_record_count,supply_evidence_sample,demand_evidence_sample,demand_job_sample
1,团队协作与沟通能力,supply,19,17,0,0,具有一定的组织管理能力、表达能力、人际交往能力和团队协作精神，能够在多学科背景团队中承担角色。 | 有较强的团队意识，能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。能够就复杂的生物学问题与团队成员、业界同行及社会公众进行有效沟通和交流。 | 能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色，能够就复杂工程问题与业界同行及社会公众有效沟通,,
2,船舶轮机详细设计能力,demand,0,0,15,15,,主要负责公务船、巡逻船、旅游船等类型船舶各设计阶段的轮机，管系，通风空调，轴系等方面详细设计工作 | 负责船舶轮机系统的设计工作；负责轮机专业的详细设计工作，设绘/校审轮机专业图纸；组织/参与轮机专业技术规格书的编写/校审工作。 | 主要负责30m~70m公务船、巡逻船、旅游船等类型船舶各设计阶段的轮机，管系，通风空调，轴系等方面详细设计工作,轮机详设工程师 | 船舶高级工程师（轮机详细设计） 上海海工院 | 船机电送详生设计师
3,自主学习与终身学习能力,supply,14,12,0,0,培养目标6具有自主学习的方法和终身学习的能力；毕业要求10和12强调自主学习和终身学习。 | 毕业生能力要求第5条：具有自主学习和终身学习的意识，有不断学习和适应发展的能力。 | 具有自主学习和终身学习的意识，能够适应技术变革，具备批判性思维能力。,,
4,工程管理与经济决策能力,supply,11,9,0,0,掌握工程实践活动中涉及的工程管理学和经济学基本知识，及涉及到的工程管理原理与经济决策方法...能在船舶与海洋工程相关实践活动等多学科环境下，在设计开发解决方案的... | 毕业要求10：理解并掌握工程管理基本原理与经济决策方法，并能将其应用于能源动力领域多学科环境中。 | 理解并掌握工程管理基本原理与经济决策方法，并能将其应用于能源动力领域所设计的多学科环境中。,,
5,航海英语应用能力,supply,11,6,0,0,核心课程包括航海英语阅读、航海英语听力与会话、GMDSS通信英语等，实践环节有航海英语会话与评估，要求通过国家主管机关规定的考试和评估。 | 核心课程：航海英语；专业方向选修课程：航海英语听力与会话、GMDSS通信英语。 | 核心课程有航海英语阅读与写作，实践环节含航海英语听力与会话,,
6,船舶电气详细设计能力,demand,0,0,11,11,,参与电气的详细设计工作；负责电气设备的选型、技术谈判和签订技术协议；处理船东船检意见，配合指导现场施工；从事船舶电气详细设计至少5年以上工作经验。 | 主要负责30m~70m公务船、巡逻船、旅游船等类型船舶电气详细设计，包括并不限于设备技术协议的签订，材料选型统计； | 负责船舶电气专业的基本设计和送审详细设计，以及对船东、船检和船厂对设计图纸意见的澄清和关闭；负责电气技术规格书的编制及投标项目电气专业的配合,电气详细设计主管工程师 | 船机电送详生设计师 | 船舶电气详细设计（镇江）
7,海洋调查观测能力,supply,10,10,0,0,掌握海洋调查技术与方法，通过物理海洋学、海洋调查技术与方法、海洋测量学、海洋观测实习、海洋测量学实习等课程和实践培养。 | 培养目标：能够熟练使用海洋观测仪器开展实验，进行海洋调查和科学考察工作。专业特色：利用光学、声学和电磁技术开展海洋调查。 | 能够熟练使用海洋观测仪器进行海洋调查和科学考察工作，具有在实践中发现、认识和解决问题的能力；包含海洋调查、海洋调查实习等课程,,
8,船舶海务管理能力,demand,0,0,10,10,,为船舶提供安全做法和安全工作环境；负责船岸日常联系，掌握船舶动态；对船舶航务和货物管理工作进行指导 | 负责船舶的海务工作，贯彻执行公司的安全和环境保护方针；负责航海技术的指导和监督，定期进行安全检查；负责甲板船员的面试、招聘及考核、培训工作 | 负责配合船长进行登轮检查；处理关于海务方面的日常管理事务；具备三副以上航海资历,海务主管 | 海务管理员 | 海务专员
9,船舶建造项目管理能力,demand,0,0,9,9,,"协助相关部门与客户代表的沟通，共同确保项目按照计划履行、保证项目执行风险可控、确保按期交船；重点关注船舶建造的质量和进度，与客户沟通,确保按期交船 | 根据负责区域特点，围绕分管项目对开工、制造、涂装、总组、进坞、出坞、起浮、码头以及船舶交付等阶段的生产管理工作；编制单船项目计划 | 控制生产节点，制定生产计划并督导落实；做好总体协调工作，保证项目顺利交付；熟悉船舶机电项目建造工艺流程",船舶业务助理 | 项目经理 | 项目经理（中山厂）
10,船舶机务管理能力,demand,0,0,9,9,,制定船舶营运成本方案，编制审核船舶维护、机务费用预算和实际成本的运营情况；负责同公司聘用的船舶管理公司沟通和解决船舶运行维护相关事宜。 | 负责分管船舶的机务工作，贯彻执行公司安全和环保方针，严格执行公司SMS的规定；负责分管船舶维修保养的管理工作 | 负责分管船舶的机务管理工作，负责所管船舶维护保养工作计划的发起、协调、监督、验收等，负责所管船舶物料备件购买、厂修、航修等修理工作和质量控制,机务主管 | 高级机务主管 | 船舶机务管理工程师
