side,source_file,source_index,job_title,occupation_name,ability,canonical_competency,coding_status,merge_rationale,evidence
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,海洋科学基础知识掌握能力,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,数学、物理、化学、生物、地质等科学基础扎实；海洋科学概貌及海洋可持续发展等基本知识
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,生物海洋与海洋生物分析能力,海洋生物生态保育能力,confirmed,海洋生物、生态和保育合并,专业核心知识：生物海洋与海洋生物、生物化学、海洋藻类学、海洋中大型生物学等
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,化学海洋与地球化学分析能力,海洋材料化学与生物医药能力,confirmed,海洋材料、化学和生物医药合并,专业核心知识：化学海洋、有机地球化学、海水分析化学、同位素地球化学等
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,地质海洋与地球科学分析能力,海洋地质地球物理能力,confirmed,海洋地质、地球物理和地球科学合并,专业核心知识：海洋地质、沉积学与地层学概论、板块构造与地球动力学、沿海地质学等
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,海洋交叉学科应用能力,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,微生物学、海洋生物动力学、地球物理、分子生物学、流体力学、大气海洋动力学等多学科交叉融合的知识
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,海洋前沿技术与AI应用能力,海洋信息智能数据能力,confirmed,海洋信息、数据、智能和仪器技术合并,AI与海洋统计分析、人工智能与海洋学、海洋智能观测与预测、数字孪生海洋等提升AI素养知识的专业前沿知识
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,海洋科技实践与实验能力,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,包含实习实践类课程，注重动手实践能力强
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,海洋环境与可持续发展评估能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,海洋保护与可持续发展、海洋环境化学等知识
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,创新与批判性思维能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,创新及批判性思维能力
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学（化学、生物与地质海洋）.doc.txt,,,,国际化视野与跨文化沟通能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,国际化视野和多元文化包容理解能力；跨文化沟通交流与全球胜任力
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,物理海洋学基础理论能力,物理海洋气象分析能力,confirmed,物理海洋、气象和数值分析合并,物理海洋学科团队聚焦海洋中物理和生态过程研究，包括海洋动力学、海气和陆海相互作用、气候变化等；专业核心知识体系包括流体力学、气候学与全球变化等。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,海洋观测技术能力,海洋调查观测测绘能力,confirmed,海洋调查、观测、采样和测绘合并,海洋技术研究团队在遥感技术、卫星技术、水下平台技术、和传感器技术等领域开展研究；专业方向核心知识体系包括遥感原理与数字图像处理。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,海洋数值模拟与数据分析能力,物理海洋气象分析能力,confirmed,物理海洋、气象和数值分析合并,在大-中-小尺度过程开展观测、理论和数值模拟研究；专业核心知识包括科学计算；前沿知识包括AI与海洋统计分析、人工智能与海洋学。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,海洋科学综合知识能力,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,B2.1 含物理海洋、生物海洋与海洋生物、化学海洋、海洋地质、海洋技术等领域知识的系列基础课程体系；B2.2 流体力学、海洋声学、海洋光学、海洋技术等专业核心知识体系。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,跨学科工程技术能力,低频跨域专业综合能力,tentative,低频长尾按跨域专业综合归并,B3 宽广的跨学科知识：常微分方程、机电控制技术、热力学与统计物理、海洋传感器技术、生物地球化学、地球物理等；工科理论模块要求至少6学分。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,海洋智能技术应用能力,海洋信息智能数据能力,confirmed,海洋信息、数据、智能和仪器技术合并,B4 领先的专业前沿：海洋智能观测与预测、AI与海洋统计分析、人工智能与海洋学、数字孪生海洋等提升AI素养的专业前沿知识。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,发现分析与解决问题能力,工程基础与问题分析能力,confirmed,工程基础、数理和问题分析合并,C7 发现、分析与解决问题能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,沟通协作与管理领导能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,C2 沟通协作与管理领导能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,批判性思维与实践创新能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,C3 批判性思维、实践与创新能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,跨文化沟通与全球胜任力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,C4 跨文化沟通交流与全球胜任力；C8 国际化视野与多元文化包容理解能力；教师队伍超过95%具有海外经历。
supply,不含海但有相关专业的院校_上海交通大学（2022）_海洋学院_海洋科学(物理海洋与观测技术)专业.doc.txt,,,,终身学习与自主学习能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,C5 终身学习和自主学习能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境污染控制工程设计能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,以渐进式提高学生环境污染控制工程设计能力为主线，涉及水、固、气、物理性污染控制的工程设计、技术开发、工程运营与管理。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,水生态修复与环境污染控制综合能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,本专业以水生态修复为特色，具有从事水生态修复和环境污染控制的工程设计、监测与评价、规划与管理、技术开发的综合专业技能。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境工程问题分析与研究能力,环境工程治理能力,confirmed,环境工程和污染治理支撑合并,能够应用数学、自然科学、工程科学和环境工程的基本原理，识别、表达并通过文献研究分析复杂环境工程问题。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境监测与评价能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,掌握环境监测、环境影响评价等知识，能够从事环境监测、环境影响评价及环境质量判断。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境规划与管理能力,环境工程治理能力,confirmed,环境工程和污染治理支撑合并,理解环境保护和可持续发展理念，掌握主要环境规划类型的规划内容、编制程序和技术方法。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,使用现代工具进行环境工程模拟与预测能力,数字化工具与软件应用能力,confirmed,通用信息技术、软件和数字工具合并,能够开发、选择与使用科学仪器、专业设备、现代工程工具和信息技术工具对复杂环境工程问题进行预测与模拟。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,工程项目管理与经济决策能力,工程管理经济质量能力,confirmed,工程管理、经济、市场和质量合规合并,理解并掌握环境工程领域工程管理的基本原理与工程经济决策方法，并能在多学科环境中应用。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,团队协作与沟通能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,具有一定的组织管理能力、表达能力、人际交往能力和团队协作精神，能够在多学科背景团队中承担角色。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,终身学习与职业发展能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,具备自主学习和终身学习的意识，具有较强的不断学习和适应社会经济及行业发展的能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,水污染控制与处理能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,通过水污染控制工程、水处理工艺实验等课程及课程设计，培养废水处理系统设计、运行与研究能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,大气污染控制与处理能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,通过大气污染控制工程课程及课程设计，培养废气处理系统设计与运行能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,固体废物处理与处置能力,环境工程治理能力,confirmed,环境工程和污染治理支撑合并,通过固体废物处理与处置课程及课程设计，培养固废处理与资源化能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,给水排水管网工程设计与运行能力,工程基础与问题分析能力,confirmed,工程基础、数理和问题分析合并,通过给水排水管网工程课程及课程设计，培养管网系统设计与运行管理能力。
