source_index,招聘岗位,occupation_name,items,errors,batches
10,产品ui设计师,海洋工程技术人员,1,0,1
13,海上风电场群规划设计平台研发工程师,海洋工程技术人员,1,0,1
7,电气主管2人/电气技工2人,船舶制造人员,2,0,1
3,海务主管,道路和水上运输工程技术人员,1,0,1
1,船员部助理,海洋服务人员,1,0,1
6,船舶驾驶员,船舶指挥和引航人员,1,0,1
9,锚固工程师,海洋工程技术人员,1,0,1
14,智能化项目经理,海洋工程技术人员,1,0,1
15,业务管理,船舶指挥和引航人员,1,0,1
24,产品主管 (MJ001941),水产技术人员,1,0,1
22,通信技术预研高级工程师,海洋工程技术人员,2,0,1
19,水下开发生产自动控制系统设计资深工程师,海洋工程技术人员,2,0,1
21,船机装备管理部船长,船舶指挥和引航人员,3,0,1
23,码头技术工程师,道路和水上运输工程技术人员,2,0,1
26,港口资料员兼综合管理员（印尼） (MJ003391),道路和水上运输工程技术人员,1,0,1
25,资深港口工程师（印尼） (MJ003388),道路和水上运输工程技术人员,2,0,1
28,海船驾驶员,船舶指挥和引航人员,2,0,1
32,工厂总经理,船舶制造人员,2,0,1
40,注册环境影响评价工程师,海洋工程技术人员,1,0,1
39,质检员,船舶制造人员,1,0,1
44,轮机主管,船舶制造人员,2,0,1
34,工程技术总监,船舶制造人员,3,0,1
43,生产主管（海工板块）,船舶制造人员,1,0,1
38,电机控制软件工程师,海洋工程技术人员,3,0,1
46,轮机放样工程师（国际事业部）,海洋工程技术人员,1,0,1
48,船舶外观内装设计,海洋工程技术人员,1,0,1
47,船体质检员,船舶制造人员,1,0,1
51,货代业务员,道路和水上运输工程技术人员,2,0,1
55,对虾养殖助理（通威渔业）,渔业生产人员,1,0,1
49,船舶外观内装设计,船舶制造人员,1,0,1
56,工艺工程师,海洋工程技术人员,3,0,1
53,船舶铜工,船舶制造人员,2,0,1
58,海管整体设计研发工程师,海洋工程技术人员,2,0,1
59,业务岗（某央企）G08773,道路和水上运输工程技术人员,2,0,1
63,工程员,道路和水上运输工程技术人员,0,0,1
62,码头操作员,海洋服务人员,2,0,1
65,智慧码头方案经理,海洋工程技术人员,2,0,1
68,售后服务工程师（船舶现场调试）,道路和水上运输工程技术人员,1,0,1
71,机械工程师,道路和水上运输工程技术人员,2,0,1
67,码头经理,水产技术人员,3,0,1
70,项目预算员,船舶制造人员,1,0,1
72,产品经理,海洋工程技术人员,1,0,1
76,电气工程师,海洋工程技术人员,1,0,1
77,数值算法工程师,海洋工程技术人员,1,0,1
79,电气工程师-系统集成（应届),道路和水上运输工程技术人员,1,0,1
86,水产饲料客户代表（业务员）,渔业生产人员,1,0,1
87,工程造价工程师,海洋工程技术人员,1,0,1
85,海运报关员,海洋服务人员,1,0,1
91,宁波远洋运输股份有限公司驻钦州办事处操作,道路和水上运输工程技术人员,1,0,1
92,宁波远洋运输股份有限公司驻钦州办事处操作,道路和水上运输工程技术人员,1,0,1
96,海风工程公司副总经理（市场）,海洋工程技术人员,2,0,1
100,港口与航道监理工程师,道路和水上运输工程技术人员,1,0,1
97,副经理,海洋工程技术人员,0,0,1
106,技术支持工程师（海工项目）(J10964),海洋工程技术人员,2,0,1
103,专业管理岗（工艺专工）,海洋工程技术人员,0,0,1
105,船务专员（日照）,道路和水上运输工程技术人员,2,0,1
101,管道材料主管工程师,海洋工程技术人员,2,0,1
109,生产运营经理,船舶制造人员,2,0,1
111,项目经理,海洋工程技术人员,1,0,1
98,HPC应用支持工程师（哈尔滨）(J10162),海洋工程技术人员,0,0,1
114,锚固工程师,海洋工程技术人员,2,0,1
117,船厂管培生/实习生,船舶制造人员,0,0,1
116,船厂设计师,道路和水上运输工程技术人员,3,0,1
115,船厂技工（急招船电工）,船舶制造人员,4,0,1
119,轮机详设工程师,海洋工程技术人员,1,0,1
118,船机电三大类生产管理主管与经理,船舶制造人员,2,0,1
121,安全员,船舶制造人员,1,0,1
122,安全员,船舶制造人员,1,0,1
130,安全专责（阳江）,海洋工程技术人员,1,0,1
131,海洋生态工程师,海洋工程技术人员,1,0,1
135,船舶高级工程师（轮机详细设计） 上海海工院,海洋工程技术人员,2,0,1
132,港航水运水利设计师,测绘和地理信息工程技术人员,2,0,1
136,航运商务管理,道路和水上运输工程技术人员,2,0,1
140,电子通信库App与可视化函数开发,海洋工程技术人员,1,0,1
144,管系主管,船舶制造人员,1,0,1
